Sample:	Fraction	Bead/Cell Ratio	Day	Replicate	Count	Live | Freq. of Parent	Live/CCR7+ CD45RO+ | Freq. of Parent	Live/CCR7+ CD45RO- | Freq. of Parent	Live/CCR7- CD45RO+ | Freq. of Parent	Live/CCR7- CD45RO- | Freq. of Parent
10.fcs	0.3333333333	0	Day 3	R1	90908	78.2	11.1	25.1	50.5	13.3
11.fcs	0.3333333333	3	Day 3	R1	63329	58.7	64.8	11.2	18.2	5.8
12.fcs	0.3333333333	1	Day 3	R1	76844	64.6	53.7	17.6	22.2	6.42
13.fcs	0.3333333333	0.3	Day 3	R1	71015	66.4	37.7	23.7	30.4	8.16
14.fcs	0.3333333333	0.1	Day 3	R1	75722	70	24.9	24.7	39.4	11.1
15.fcs	0.3333333333	0.03	Day 3	R1	84315	74.6	16.8	24.9	45.7	12.5
20.fcs	0.3333333333	0	Day 3	R2	84622	76.2	11.7	24.6	49.5	14.2
21.fcs	0.3333333333	3	Day 3	R2	80393	63.7	62.4	11.5	20	6.08
22.fcs	0.3333333333	1	Day 3	R2	75283	64.8	50.6	18.9	23.3	7.27
23.fcs	0.3333333333	0.3	Day 3	R2	78780	65.5	37	23.7	30.4	8.91
24.fcs	0.3333333333	0.1	Day 3	R2	76433	72.4	24.2	24.3	39.5	12.1
25.fcs	0.3333333333	0.03	Day 3	R2	73464	73.2	16.9	25.6	44.2	13.3
30.fcs	0.3333333333	0	Day 3	R3	80445	72.6	11.3	24.1	48.8	15.8
31.fcs	0.3333333333	3	Day 3	R3	75172	61.8	64.6	11.8	18.1	5.36
32.fcs	0.3333333333	1	Day 3	R3	78098	64.5	52.3	18.4	22.4	6.88
33.fcs	0.3333333333	0.3	Day 3	R3	80734	66.3	36.4	23.8	30.5	9.35
34.fcs	0.3333333333	0.1	Day 3	R3	78099	69.5	22.3	24.7	40.1	12.9
35.fcs	0.3333333333	0.03	Day 3	R3	78332	72.6	15.2	25.4	45.3	14.1
40.fcs	0.3333333333	0	Day 3	R4	146548	75	9.81	22.1	49.8	18.3
41.fcs	0.3333333333	3	Day 3	R4	75531	61.7	67.5	11.4	16.1	4.89
42.fcs	0.3333333333	1	Day 3	R4	72222	61.3	50.3	20.5	22.3	6.94
43.fcs	0.3333333333	0.3	Day 3	R4	77915	68.7	35.4	22.9	31.5	10.3
44.fcs	0.3333333333	0.1	Day 3	R4	71590	71	23.4	24.3	39	13.3
45.fcs	0.3333333333	0.03	Day 3	R4	61413	73.5	15.4	25.2	44.6	14.8
10.fcs	0.2857142857	0	Day 5	R1	76290	77.7	14.8	23.4	50.5	11.3
11.fcs	0.2857142857	3	Day 5	R1	72686	62	58.2	3.86	36.3	1.66
12.fcs	0.2857142857	1	Day 5	R1	121511	67.9	45.6	8.35	43.7	2.35
13.fcs	0.2857142857	0.3	Day 5	R1	122242	69.7	38.6	12.8	45.1	3.5
14.fcs	0.2857142857	0.1	Day 5	R1	103606	67.7	29.1	18.7	45.7	6.47
15.fcs	0.2857142857	0.03	Day 5	R1	91732	68.3	23.3	23	44.9	8.72
20.fcs	0.2857142857	0	Day 5	R2	73197	76.4	17	22.6	49.2	11.1
21.fcs	0.2857142857	3	Day 5	R2	145839	65.1	56.2	3.36	39.1	1.36
22.fcs	0.2857142857	1	Day 5	R2	138091	67.2	49.4	8.19	40.4	1.99
23.fcs	0.2857142857	0.3	Day 5	R2	111209	71.4	36.5	13.6	46.3	3.61
24.fcs	0.2857142857	0.1	Day 5	R2	100194	68.8	27.7	21.1	44.7	6.5
25.fcs	0.2857142857	0.03	Day 5	R2	77922	70.2	22.8	23.4	44.9	8.88
30.fcs	0.2857142857	0	Day 5	R3	71135	80.4	19.1	22.8	48.1	10.1
31.fcs	0.2857142857	3	Day 5	R3	131573	66.5	55.2	3.35	40.1	1.36
32.fcs	0.2857142857	1	Day 5	R3	141568	68.4	48.7	8.6	40.8	1.88
33.fcs	0.2857142857	0.3	Day 5	R3	114721	70.9	34.5	14	47.6	3.85
34.fcs	0.2857142857	0.1	Day 5	R3	96482	67.8	27	21.5	44.7	6.75
35.fcs	0.2857142857	0.03	Day 5	R3	76795	69.6	21.5	23.3	46.2	8.96
40.fcs	0.2857142857	0	Day 5	R4	125116	75.7	15.1	19.9	51.1	13.9
41.fcs	0.2857142857	3	Day 5	R4	146853	64.6	54.4	3.12	41.2	1.26
42.fcs	0.2857142857	1	Day 5	R4	130430	66.6	45	9.06	43.6	2.35
43.fcs	0.2857142857	0.3	Day 5	R4	130201	68.3	33.6	13.5	48.4	4.55
44.fcs	0.2857142857	0.1	Day 5	R4	78990	69.5	27.2	21.4	44.4	6.95
45.fcs	0.2857142857	0.03	Day 5	R4	81289	73	20.2	22.1	48.1	9.64
