Sample:	Debead	Sample	Replicate	Seed	Dilution	Count	Live | Freq. of Parent	Live/CCR7+ CD45RO+ | Freq. of Parent	Live/CCR7+ CD45RO- | Freq. of Parent	Live/CCR7- CD45RO+ | Freq. of Parent	Live/CCR7- CD45RO- | Freq. of Parent
Tube_001.fcs	Day 1	Day 6	R1	2000000	2	200000	61	92	4.98	2.68	0.32
Tube_002.fcs	Day 1	Day 6	R1	1000000	2	129315	68.5	76.5	15.5	7.53	0.45
Tube_003.fcs	Day 1	Day 6	R1	500000	2	63601	68.4	64.5	23.2	11.6	0.78
Tube_004.fcs	Day 1	Day 6	R1	250000	2	20639	63.2	48.6	35.3	13.6	2.53
Tube_005.fcs	Day 1	Day 6	R1	125000	2	6043	51.4	33	42.4	15	9.62
Tube_007.fcs	Day 1	Day 6	R2	2000000	2	200000	61.4	94.2	4.15	1.53	0.11
Tube_008.fcs	Day 1	Day 6	R2	1000000	2	171445	70.6	75.9	15.3	8.37	0.42
Tube_009.fcs	Day 1	Day 6	R2	500000	2	80198	72.1	62.1	24.1	13.1	0.71
Tube_010.fcs	Day 1	Day 6	R2	250000	2	22831	59.9	45.8	37.5	14.2	2.46
Tube_011.fcs	Day 1	Day 6	R2	125000	2	9010	56	28.4	47.6	14.2	9.71
Tube_013.fcs	Day 1	Day 6	R3	2000000	2	200000	63.2	94.4	4.15	1.38	0.093
Tube_014.fcs	Day 1	Day 6	R3	1000000	2	145435	70.5	73	16.9	9.66	0.45
Tube_015.fcs	Day 1	Day 6	R3	500000	2	68109	70.9	59.5	26.9	12.8	0.84
Tube_016.fcs	Day 1	Day 6	R3	250000	2	24247	65	47.9	37.8	12.1	2.16
Tube_017.fcs	Day 1	Day 6	R3	125000	2	10364	57.9	28.9	45.2	16.4	9.49
Tube_019.fcs	Day 1	Day 6	R4	2000000	2	200000	61	94.5	3.95	1.45	0.09
Tube_020.fcs	Day 1	Day 6	R4	1000000	2	164276	69.8	77.2	15.1	7.45	0.31
Tube_021.fcs	Day 1	Day 6	R4	500000	2	80509	71.7	62.9	26.5	10.1	0.5
Tube_022.fcs	Day 1	Day 6	R4	250000	2	35472	65.5	53.6	33.8	11.2	1.48
Tube_023.fcs	Day 1	Day 6	R4	125000	2	10042	57.7	32.4	49.2	12.3	6.14
Tube_025.fcs	Day 2	Day 6	R1	2000000	2	200000	53.2	96.3	0.39	3.13	0.18
Tube_026.fcs	Day 2	Day 6	R1	1000000	2	200000	61.8	94.5	1.34	4.05	0.16
Tube_027.fcs	Day 2	Day 6	R1	500000	2	138179	68.7	87.6	2.84	9.18	0.36
Tube_028.fcs	Day 2	Day 6	R1	250000	2	75265	74.6	80.3	5.01	14	0.66
Tube_029.fcs	Day 2	Day 6	R1	125000	2	31160	69.8	66.1	12	19.3	2.6
Tube_031.fcs	Day 2	Day 6	R2	2000000	2	200000	55	98.2	0.4	1.35	0.07
Tube_032.fcs	Day 2	Day 6	R2	1000000	2	200000	62.3	93.8	1.36	4.69	0.16
Tube_033.fcs	Day 2	Day 6	R2	500000	2	172053	75.6	88	2.33	9.39	0.28
Tube_034.fcs	Day 2	Day 6	R2	250000	2	75866	74.7	79.8	5.09	14.5	0.67
